animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel,
26833,LAABG1061211008,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,虎斑色,CHILD,F,F,民生路,,OPEN,,,2017-12-12,2999-12-31,2017/12/12,2017/12/11,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/cd4f85fd-58b0-4773-aef2-7cfc8e9b77c4_org.JPG,,2017/12/12,高雄市燕巢區師大路100號,07-6051002,
26846,LAABG1061212001,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,花色,ADULT,F,F,清潔隊,,OPEN,,,,2999-12-31,2017/12/15,2017/12/12,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/dc906145-353a-4a8a-990a-981820d61461_org.JPG,,2017/12/15,高雄市燕巢區師大路100號,07-6051002,
26985,LAABG1060125006,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,花色,ADULT,F,F,莒光路,,OPEN,,,2017-12-15,2999-12-31,2018/04/20,2017/01/25,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/d88486fb-0b76-4d94-9264-a64edb54964a_org.JPG,,2018/04/20,高雄市燕巢區師大路100號,07-6051002,
26996,LAABG1060726006,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,F,F,美興街,,OPEN,,,2017-12-15,2999-12-31,2017/12/15,2017/07/26,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/850c25e4-100b-482b-b1bc-3047ec169930_org.JPG,,2017/12/15,高雄市燕巢區師大路100號,07-6051002,
26999,LAABG1041218009,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,,,F,F,興達路,,OPEN,,,2017-12-15,2999-12-31,2017/12/15,2015/12/18,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/aaa47016-23d1-4355-8a7c-0c22272d9bcf_org.JPG,,2017/12/15,高雄市燕巢區師大路100號,07-6051002,
27002,LAABG1040915001,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,T,F,鳳龍巷,,OPEN,,,2017-12-15,2999-12-31,2017/12/15,2015/09/15,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/c1e9299d-d3d2-40ed-a33f-a1d2eeaac169_org.JPG,,2017/12/15,高雄市燕巢區師大路100號,07-6051002,
27061,LAABG1041120002,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,F,F,鳳雄里,,OPEN,,,2017-12-15,2999-12-31,2017/12/15,2015/11/20,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/8fce7317-cf92-4a00-99a1-16d616209087_org.JPG,,2017/12/15,高雄市燕巢區師大路100號,07-6051002,
27070,LAABG1061215006,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,虎斑色,ADULT,F,F,鳳澄路,,OPEN,,,2017-12-15,2999-12-31,2017/12/15,2017/12/15,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/5882cbeb-7bc4-4d67-b64f-44b0c3bc5daa_org.JPG,,2017/12/15,高雄市燕巢區師大路100號,07-6051002,
27074,LAABG1060614005,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,F,F,中華路,,OPEN,,,2017-12-15,2999-12-31,2017/12/15,2017/06/14,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/912144fa-9488-4a19-8ad4-8b4590676103_org.JPG,,2017/12/15,高雄市燕巢區師大路100號,07-6051002,
27087,LAABG1061107012,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黃色,ADULT,F,F,麒麟巷,,OPEN,,,2017-12-15,2999-12-31,2017/12/15,2017/11/07,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/82a05793-269d-4833-8d2d-ce8ded795b6d_org.JPG,,2017/12/15,高雄市燕巢區師大路100號,07-6051002,
27097,LAABG1061026007,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黃色,ADULT,T,F,甲圍路,,OPEN,,,2017-12-15,2999-12-31,2018/01/03,2017/10/26,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/9fdcbd8c-5e93-4ff9-a904-40f26e9aa4aa_org.JPG,,2018/01/03,高雄市燕巢區師大路100號,07-6051002,
27147,LAABG1061201015,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黃色,ADULT,F,F,永安路,,OPEN,,,2017-12-16,2999-12-31,2018/01/26,2017/12/01,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/15c017c7-5cee-49b0-89fe-234e6a6b7230_org.JPG,,2018/01/26,高雄市燕巢區師大路100號,07-6051002,
27150,LAABG1061205008,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黑色,ADULT,F,F,崎漏里,,OPEN,,,2017-12-16,2999-12-31,2017/12/16,2017/12/05,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/29cdf36a-6659-4c5f-b8bc-7099b073d640_org.JPG,,2017/12/16,高雄市燕巢區師大路100號,07-6051002,
27161,LAABG1060218017,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黃色,ADULT,T,F,莒光運動公園,,OPEN,,,2017-12-16,2999-12-31,2017/12/16,2017/02/18,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/2b42de33-a784-416a-80f1-11db84dfdb4c_org.JPG,,2017/12/16,高雄市燕巢區師大路100號,07-6051002,
27175,LAABG1060705004,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,棕色,ADULT,T,F,自由街,,OPEN,,,2017-12-16,2999-12-31,2017/12/16,2017/07/05,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/8ddf9067-9606-4b1f-b3a2-7275a37638d3_org.JPG,,2017/12/16,高雄市燕巢區師大路100號,07-6051002,
27178,LAABG1060216002,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黑色,ADULT,T,F,洪山巷,,OPEN,,,2017-12-16,2999-12-31,2017/12/16,2017/02/16,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/2b820bdf-0650-4db7-80ca-7b08fa6348f4_org.JPG,,2017/12/16,高雄市燕巢區師大路100號,07-6051002,
27187,LAABG1061128005,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黑色,ADULT,F,F,成功路(榮民之家),,OPEN,,,2017-12-16,2999-12-31,2017/12/16,2017/11/28,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/56a1142f-f323-44f5-a18c-5e45a7e7cc17_org.JPG,,2017/12/16,高雄市燕巢區師大路100號,07-6051002,
27189,LAABG1060518008,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黑色,ADULT,F,F,民有路立體停車場,,OPEN,,,2018-06-12,2999-12-31,2018/06/13,2017/05/18,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/121b4bc5-0214-4a3a-9f4f-df59cfeed04d_org.JPG,,2018/06/13,高雄市燕巢區師大路100號,07-6051002,
27191,LAABG1060123002,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黃色,ADULT,T,F,莒光路,,OPEN,,,2017-12-16,2999-12-31,2018/06/13,2017/01/23,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/1ae22f54-2c33-45c5-bc44-e8a86c614012_org.JPG,,2018/06/13,高雄市燕巢區師大路100號,07-6051002,
